año,eleccion_tipo,eleccion_id,recuento_tipo,recuento_id,padron_tipo,distrito_id,distrito_nombre,seccionprovincial_id,seccionprovincial_nombre,seccion_id,seccion_nombre,circuito_id,circuito_nombre,mesa_id,mesa_tipo,mesa_electores,cargo_id,cargo_nombre,agrupacion_id,agrupacion_nombre,lista_numero,lista_nombre,votos_tipo,votos_cantidad,asistencia_mesa,votos_positivos,promedio_asistencia_circuito,diferencia_asistencia,z_score_diferencia_asistencia
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,7.0,Sección Séptima,6,Azul,00060,00060,17,NATIVOS,342,4,GOBERNADOR Y VICE,20135,LA LIBERTAD AVANZA,,,POSITIVO,65,97.07602339181285,300.0,77.75300884583902,19.323014545973834,5.388211064945364
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,7.0,Sección Séptima,6,Azul,00060,00060,17,NATIVOS,342,4,GOBERNADOR Y VICE,20136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,,,POSITIVO,68,97.07602339181285,300.0,77.75300884583902,19.323014545973834,5.388211064945364
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,7.0,Sección Séptima,6,Azul,00060,00060,17,NATIVOS,342,4,GOBERNADOR Y VICE,20132,JUNTOS POR EL CAMBIO,,,POSITIVO,76,97.07602339181285,300.0,77.75300884583902,19.323014545973834,5.388211064945364
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,7.0,Sección Séptima,6,Azul,00060,00060,17,NATIVOS,342,4,GOBERNADOR Y VICE,20134,UNION POR LA PATRIA,,,POSITIVO,91,97.07602339181285,300.0,77.75300884583902,19.323014545973834,5.388211064945364
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,7.0,Sección Séptima,84,Olavarría,00711,00711,15,NATIVOS,357,1,PRESIDENTE Y VICE,136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,,,POSITIVO,77,96.35854341736695,334.0,77.08772515808079,19.27081825928616,5.373656161578166
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,7.0,Sección Séptima,84,Olavarría,00711,00711,15,NATIVOS,357,1,PRESIDENTE Y VICE,133,HACEMOS POR NUESTRO PAIS,,,POSITIVO,15,96.35854341736695,334.0,77.08772515808079,19.27081825928616,5.373656161578166
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,7.0,Sección Séptima,84,Olavarría,00711,00711,15,NATIVOS,357,1,PRESIDENTE Y VICE,134,UNION POR LA PATRIA,,,POSITIVO,70,96.35854341736695,334.0,77.08772515808079,19.27081825928616,5.373656161578166
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,7.0,Sección Séptima,84,Olavarría,00711,00711,15,NATIVOS,357,1,PRESIDENTE Y VICE,132,JUNTOS POR EL CAMBIO,,,POSITIVO,89,96.35854341736695,334.0,77.08772515808079,19.27081825928616,5.373656161578166
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,7.0,Sección Séptima,84,Olavarría,00711,00711,15,NATIVOS,357,1,PRESIDENTE Y VICE,135,LA LIBERTAD AVANZA,,,POSITIVO,83,96.35854341736695,334.0,77.08772515808079,19.27081825928616,5.373656161578166
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,108,San Pedro,00913,00913,117,NATIVOS,353,9,PARLAMENTO MERCOSUR REGIONAL,20132,JUNTOS POR EL CAMBIO,,,POSITIVO,86,99.71671388101983,245.0,80.46383241293213,19.252881468087693,5.368654498065714
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,108,San Pedro,00913,00913,117,NATIVOS,353,9,PARLAMENTO MERCOSUR REGIONAL,20134,UNION POR LA PATRIA,,,POSITIVO,81,99.71671388101983,245.0,80.46383241293213,19.252881468087693,5.368654498065714
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,108,San Pedro,00913,00913,117,NATIVOS,353,9,PARLAMENTO MERCOSUR REGIONAL,20135,LA LIBERTAD AVANZA,,,POSITIVO,72,99.71671388101983,245.0,80.46383241293213,19.252881468087693,5.368654498065714
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,108,San Pedro,00913,00913,117,NATIVOS,353,9,PARLAMENTO MERCOSUR REGIONAL,20136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,,,POSITIVO,6,99.71671388101983,245.0,80.46383241293213,19.252881468087693,5.368654498065714
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,108,San Pedro,00913,00913,117,NATIVOS,353,1,PRESIDENTE Y VICE,132,JUNTOS POR EL CAMBIO,,,POSITIVO,85,99.71671388101983,271.0,80.46383241293213,19.252881468087693,5.368654498065714
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,108,San Pedro,00913,00913,117,NATIVOS,353,3,DIPUTADO NACIONAL,20135,LA LIBERTAD AVANZA,,,POSITIVO,72,99.71671388101983,245.0,80.46383241293213,19.252881468087693,5.368654498065714
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,108,San Pedro,00913,00913,117,NATIVOS,353,5,SENADOR PROVINCIAL,20134,UNION POR LA PATRIA,,,POSITIVO,82,99.71671388101983,244.0,80.46383241293213,19.252881468087693,5.368654498065714
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,108,San Pedro,00913,00913,117,NATIVOS,353,5,SENADOR PROVINCIAL,20132,JUNTOS POR EL CAMBIO,,,POSITIVO,84,99.71671388101983,244.0,80.46383241293213,19.252881468087693,5.368654498065714
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,108,San Pedro,00913,00913,117,NATIVOS,353,4,GOBERNADOR Y VICE,20136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,,,POSITIVO,6,99.71671388101983,249.0,80.46383241293213,19.252881468087693,5.368654498065714
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,108,San Pedro,00913,00913,117,NATIVOS,353,4,GOBERNADOR Y VICE,20135,LA LIBERTAD AVANZA,,,POSITIVO,73,99.71671388101983,249.0,80.46383241293213,19.252881468087693,5.368654498065714
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,108,San Pedro,00913,00913,117,NATIVOS,353,4,GOBERNADOR Y VICE,20134,UNION POR LA PATRIA,,,POSITIVO,84,99.71671388101983,249.0,80.46383241293213,19.252881468087693,5.368654498065714
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,108,San Pedro,00913,00913,117,NATIVOS,353,4,GOBERNADOR Y VICE,20132,JUNTOS POR EL CAMBIO,,,POSITIVO,86,99.71671388101983,249.0,80.46383241293213,19.252881468087693,5.368654498065714
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,108,San Pedro,00913,00913,117,NATIVOS,353,5,SENADOR PROVINCIAL,20135,LA LIBERTAD AVANZA,,,POSITIVO,72,99.71671388101983,244.0,80.46383241293213,19.252881468087693,5.368654498065714
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,108,San Pedro,00913,00913,117,NATIVOS,353,5,SENADOR PROVINCIAL,20136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,,,POSITIVO,6,99.71671388101983,244.0,80.46383241293213,19.252881468087693,5.368654498065714
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,108,San Pedro,00913,00913,117,NATIVOS,353,1,PRESIDENTE Y VICE,135,LA LIBERTAD AVANZA,,,POSITIVO,81,99.71671388101983,271.0,80.46383241293213,19.252881468087693,5.368654498065714
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,108,San Pedro,00913,00913,117,NATIVOS,353,7,INTENDENTE,20134,UNION POR LA PATRIA,,,POSITIVO,88,99.71671388101983,255.0,80.46383241293213,19.252881468087693,5.368654498065714
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,108,San Pedro,00913,00913,117,NATIVOS,353,3,DIPUTADO NACIONAL,20136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,,,POSITIVO,6,99.71671388101983,245.0,80.46383241293213,19.252881468087693,5.368654498065714
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,108,San Pedro,00913,00913,117,NATIVOS,353,7,INTENDENTE,20132,JUNTOS POR EL CAMBIO,,,POSITIVO,92,99.71671388101983,255.0,80.46383241293213,19.252881468087693,5.368654498065714
