año,eleccion_tipo,eleccion_id,recuento_tipo,recuento_id,padron_tipo,distrito_id,distrito_nombre,seccionprovincial_id,seccionprovincial_nombre,seccion_id,seccion_nombre,circuito_id,circuito_nombre,mesa_id,mesa_tipo,mesa_electores,cargo_id,cargo_nombre,agrupacion_id,agrupacion_nombre,lista_numero,lista_nombre,votos_tipo,votos_cantidad,asistencia_mesa,porcentaje,resultado_circuito,diff,z_score_diff
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,87,Pergamino,00757,00757,270,NATIVOS,13,7,INTENDENTE,20135,LA LIBERTAD AVANZA,,,POSITIVO,7,10,53.84615384615385,8.75,45.09615384615385,3.342616297380952
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,93,Ramallo,00797,00797,18,NATIVOS,347,7,INTENDENTE,20134,UNION POR LA PATRIA,,,POSITIVO,170,296,48.99135446685879,6.325820002230456,42.66553446462833,3.080672693276516
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,93,Ramallo,00797,00797,32,NATIVOS,353,7,INTENDENTE,20134,UNION POR LA PATRIA,,,POSITIVO,172,295,48.725212464589234,6.325820002230456,42.399392462358776,3.0519910346803836
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,96,Rojas,00830,00830,64,NATIVOS,350,7,INTENDENTE,20132,JUNTOS POR EL CAMBIO,,,POSITIVO,211,295,60.285714285714285,8.511074651353569,51.77463963436072,4.062345042498257
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,96,Rojas,00830,00830,65,NATIVOS,187,7,INTENDENTE,20132,JUNTOS POR EL CAMBIO,,,POSITIVO,102,153,54.54545454545454,8.511074651353569,46.03437989410097,3.44372727935201
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,96,Rojas,00830,00830,66,NATIVOS,190,7,INTENDENTE,20132,JUNTOS POR EL CAMBIO,,,POSITIVO,102,161,53.68421052631579,8.511074651353569,45.17313587496222,3.350912516126925
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,7.0,Sección Séptima,97,Roque Pérez,00832,00832,12,NATIVOS,347,7,INTENDENTE,20134,UNION POR LA PATRIA,,,POSITIVO,180,323,51.873198847262245,6.155950752393981,45.71724809486827,3.409550539423687
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,7.0,Sección Séptima,97,Roque Pérez,00832,00832,25,NATIVOS,350,7,INTENDENTE,20134,UNION POR LA PATRIA,,,POSITIVO,184,307,52.57142857142857,6.155950752393981,46.41547781903459,3.4847975368890753
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,103,San Antonio de Areco,00866,00866,38,NATIVOS,346,7,INTENDENTE,20132,JUNTOS POR EL CAMBIO,,,POSITIVO,166,292,47.97687861271676,5.616393987937358,42.3604846247794,3.0477980050020577
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,103,San Antonio de Areco,00866,00866,52,NATIVOS,67,7,INTENDENTE,20132,JUNTOS POR EL CAMBIO,,,POSITIVO,41,59,61.19402985074627,5.616393987937358,55.57763586280891,4.472187301655293
