circuito_id,mesa_id,agrupacion_nombre,cargo_nombre,votos_cantidad_generales,votos_cantidad_paso,diferencia_absoluta,z_score_diferencia
00230,7,UNION POR LA PATRIA,PRESIDENTE Y VICE,95,0,95,4.652641059313264
00230,7,UNION POR LA PATRIA,SENADOR NACIONAL,93,0,93,4.5364567550062365
00230,13,UNION POR LA PATRIA,PRESIDENTE Y VICE,13,92,79,3.7231666248570447
00230,31,UNION POR LA PATRIA,DIPUTADO NACIONAL,94,5,89,4.304088146392182
00230,31,UNION POR LA PATRIA,PRESIDENTE Y VICE,101,5,96,4.710733211466778
00230,31,UNION POR LA PATRIA,SENADOR NACIONAL,94,5,89,4.304088146392182
00230,40,JUNTOS POR EL CAMBIO,DIPUTADO NACIONAL,73,0,73,3.3746137119359627
00230,40,JUNTOS POR EL CAMBIO,SENADOR NACIONAL,76,0,76,3.548890168396504
00230,40,UNION POR LA PATRIA,DIPUTADO NACIONAL,104,0,104,5.175470428694887
00230,40,UNION POR LA PATRIA,PRESIDENTE Y VICE,109,0,109,5.465931189462456
00230,40,UNION POR LA PATRIA,SENADOR NACIONAL,104,0,104,5.175470428694887
00292,6,UNION POR LA PATRIA,DIPUTADO NACIONAL,85,13,72,3.316521559782449
00292,15,JUNTOS POR EL CAMBIO,DIPUTADO NACIONAL,0,82,82,3.897443081317586
00292,15,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,0,86,86,4.129811689931641
00292,15,JUNTOS POR EL CAMBIO,SENADOR NACIONAL,0,83,83,3.9555352334710996
00292,15,UNION POR LA PATRIA,DIPUTADO NACIONAL,0,84,84,4.013627385624614
00292,15,UNION POR LA PATRIA,PRESIDENTE Y VICE,0,79,79,3.7231666248570447
00292,15,UNION POR LA PATRIA,SENADOR NACIONAL,0,85,85,4.071719537778127
00292,20,JUNTOS POR EL CAMBIO,DIPUTADO NACIONAL,92,0,92,4.478364602852723
00292,20,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,84,0,84,4.013627385624614
00292,20,JUNTOS POR EL CAMBIO,SENADOR NACIONAL,92,0,92,4.478364602852723
00292,20,LA LIBERTAD AVANZA,DIPUTADO NACIONAL,68,0,68,3.0841529511683943
00292,20,LA LIBERTAD AVANZA,PRESIDENTE Y VICE,85,0,85,4.071719537778127
00292,20,LA LIBERTAD AVANZA,SENADOR NACIONAL,67,0,67,3.0260607990148807
00292,20,UNION POR LA PATRIA,DIPUTADO NACIONAL,84,0,84,4.013627385624614
00292,20,UNION POR LA PATRIA,PRESIDENTE Y VICE,89,0,89,4.304088146392182
00292,20,UNION POR LA PATRIA,SENADOR NACIONAL,85,0,85,4.071719537778127
00293,31,UNION POR LA PATRIA,DIPUTADO NACIONAL,106,0,106,5.291654733001915
00293,31,UNION POR LA PATRIA,PRESIDENTE Y VICE,111,0,111,5.582115493769483
00293,31,UNION POR LA PATRIA,SENADOR NACIONAL,106,0,106,5.291654733001915
00293,34,UNION POR LA PATRIA,DIPUTADO NACIONAL,103,0,103,5.117378276541373
00293,34,UNION POR LA PATRIA,PRESIDENTE Y VICE,112,27,85,4.071719537778127
00293,34,UNION POR LA PATRIA,SENADOR NACIONAL,105,0,105,5.233562580848401
00293,45,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,71,0,71,3.2584294076289355
00293,45,JUNTOS POR EL CAMBIO,SENADOR NACIONAL,67,0,67,3.0260607990148807
00293,45,LA LIBERTAD AVANZA,DIPUTADO NACIONAL,98,0,98,4.826917515773805
