Country,Type,Type
United Arab Emirates,Watercraft,1
United Kingdom,Provoked,19
United Kingdom,Unprovoked,17
United Kingdom,Watercraft,6
United Kingdom,Invalid,3
United States of America,Unprovoked,1973
United States of America,Provoked,234
United States of America,Invalid,209
United States of America,Watercraft,83
United States of America,Sea Disaster,36
United States of America,Questionable,2
United States of America,Under investigation,1
Unknown,Unprovoked,33
Unknown,Sea Disaster,6
Unknown,Invalid,4
Unknown,Provoked,3
Unknown,Watercraft,1
Uruguay,Unprovoked,4
Vanuatu,Unprovoked,12
Vanuatu,Provoked,1
Vanuatu,Sea Disaster,1
Vanuatu,Watercraft,1
Venezuela,Unprovoked,11
Vietnam,Unprovoked,12
Vietnam,Sea Disaster,2
Vietnam,Provoked,1
Yemen,Unprovoked,8
Yemen,Invalid,1
Yemen,Sea Disaster,1
